,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-03-16,65.5923841301337,-22.061274473324257,144.56396310171462,65.5923841301337,65.5923841301337,-5.865511429697004,-5.865511429697004,-5.865511429697004,-5.865511429697004,-5.865511429697004,-5.865511429697004,0.0,0.0,0.0,59.726872700436694
1,2020-03-17,67.3878411007947,-30.71140799394191,154.33640893753275,67.3878411007947,67.3878411007947,-2.3886757936612573,-2.3886757936612573,-2.3886757936612573,-2.3886757936612573,-2.3886757936612573,-2.3886757936612573,0.0,0.0,0.0,64.99916530713344
2,2020-03-18,69.18329807145571,-20.936734284438632,154.2413485014812,69.18329807145571,69.18329807145571,-3.4960425671410564,-3.4960425671410564,-3.4960425671410564,-3.4960425671410564,-3.4960425671410564,-3.4960425671410564,0.0,0.0,0.0,65.68725550431465
3,2020-03-19,70.97875504211672,-15.73625333373409,154.26166852595634,70.97875504211672,70.97875504211672,-3.8448379769092544,-3.8448379769092544,-3.8448379769092544,-3.8448379769092544,-3.8448379769092544,-3.8448379769092544,0.0,0.0,0.0,67.13391706520746
4,2020-03-20,72.77421201277772,-21.206240419345338,148.02717243290616,72.77421201277772,72.77421201277772,-7.760561843359966,-7.760561843359966,-7.760561843359966,-7.760561843359966,-7.760561843359966,-7.760561843359966,0.0,0.0,0.0,65.01365016941776
5,2020-03-23,78.16058292476075,-19.57381784150376,147.57740592612478,78.16058292476075,78.16058292476075,-5.865511429690019,-5.865511429690019,-5.865511429690019,-5.865511429690019,-5.865511429690019,-5.865511429690019,0.0,0.0,0.0,72.29507149507073
6,2020-03-24,79.95603989542175,-10.197165666858071,159.7503429135183,79.95603989542175,79.95603989542175,-2.388675793641436,-2.388675793641436,-2.388675793641436,-2.388675793641436,-2.388675793641436,-2.388675793641436,0.0,0.0,0.0,77.56736410178031
7,2020-03-25,81.75149686608275,-10.297525672326735,161.83240941760795,81.75149686608275,81.75149686608275,-3.4960425671361337,-3.4960425671361337,-3.4960425671361337,-3.4960425671361337,-3.4960425671361337,-3.4960425671361337,0.0,0.0,0.0,78.25545429894662
8,2020-03-26,83.54695383674377,-2.8581152907623815,164.3790326981304,83.54695383674377,83.54695383674377,-3.8448379769257714,-3.8448379769257714,-3.8448379769257714,-3.8448379769257714,-3.8448379769257714,-3.8448379769257714,0.0,0.0,0.0,79.702115859818
9,2020-03-27,85.34241079567678,-3.7169300873802147,165.10365325338898,85.34241079567678,85.34241079567678,-7.760561843346883,-7.760561843346883,-7.760561843346883,-7.760561843346883,-7.760561843346883,-7.760561843346883,0.0,0.0,0.0,77.5818489523299
10,2020-03-30,90.72878167247585,0.5365629600427663,172.72928424673574,90.72878167247585,90.72878167247585,-5.865511429722856,-5.865511429722856,-5.865511429722856,-5.865511429722856,-5.865511429722856,-5.865511429722856,0.0,0.0,0.0,84.86327024275299
11,2020-03-31,92.52423863140886,8.160308347137365,178.8673300309818,92.52423863140886,92.52423863140886,-2.388675793673501,-2.388675793673501,-2.388675793673501,-2.388675793673501,-2.388675793673501,-2.388675793673501,0.0,0.0,0.0,90.13556283773536
12,2020-04-01,94.3196955903419,6.4199884387613295,180.38896339011663,94.3196955903419,94.3196955903419,-3.496042567137327,-3.496042567137327,-3.496042567137327,-3.496042567137327,-3.496042567137327,-3.496042567137327,0.0,0.0,0.0,90.82365302320457
13,2020-04-02,96.11515254927491,4.112134576775332,177.90411070830348,96.11515254927491,96.11515254927491,-3.8448379769245924,-3.8448379769245924,-3.8448379769245924,-3.8448379769245924,-3.8448379769245924,-3.8448379769245924,0.0,0.0,0.0,92.27031457235032
14,2020-04-03,97.91060950820791,-2.297263577766816,177.92247220918864,97.91060950820791,97.91060950820791,-7.760561843351508,-7.760561843351508,-7.760561843351508,-7.760561843351508,-7.760561843351508,-7.760561843351508,0.0,0.0,0.0,90.1500476648564
15,2020-04-06,103.29698038500698,11.55665043849193,180.24733027000696,103.29698038500698,103.29698038500698,-5.865511429715871,-5.865511429715871,-5.865511429715871,-5.865511429715871,-5.865511429715871,-5.865511429715871,0.0,0.0,0.0,97.43146895529111
16,2020-04-07,105.09243734394,20.25433097664343,188.65642835647316,105.09243734394,105.09243734394,-2.3886757936657093,-2.3886757936657093,-2.3886757936657093,-2.3886757936657093,-2.3886757936657093,-2.3886757936657093,0.0,0.0,0.0,102.7037615502743
17,2020-04-08,106.88789431699477,25.797122477480134,186.59200778690854,106.88789431699477,106.88789431699477,-3.4960425671385176,-3.4960425671385176,-3.4960425671385176,-3.4960425671385176,-3.4960425671385176,-3.4960425671385176,0.0,0.0,0.0,103.39185174985626
18,2020-04-09,108.68335129004957,20.18240227442496,190.8486436192114,108.68335129004957,108.68335129004957,-3.8448379769322605,-3.8448379769322605,-3.8448379769322605,-3.8448379769322605,-3.8448379769322605,-3.8448379769322605,0.0,0.0,0.0,104.83851331311732
19,2020-04-13,115.86517918226866,19.50730121286028,197.63144059755467,115.86517918226866,115.86517918226866,-5.865511429708887,-5.865511429708887,-5.865511429708887,-5.865511429708887,-5.865511429708887,-5.865511429708887,0.0,0.0,0.0,109.99966775255977
20,2020-04-14,117.66063615532344,32.89016271638722,194.80057105571728,117.66063615532344,117.66063615532344,-2.3886757936579186,-2.3886757936579186,-2.3886757936579186,-2.3886757936579186,-2.3886757936579186,-2.3886757936579186,0.0,0.0,0.0,115.27196036166552
21,2020-04-15,119.45609312837821,33.44131001010403,199.5333285342203,119.45609312837821,119.45609312837821,-3.496042567139709,-3.496042567139709,-3.496042567139709,-3.496042567139709,-3.496042567139709,-3.496042567139709,0.0,0.0,0.0,115.9600505612385
22,2020-04-16,121.25155010143303,26.667860278424993,203.71546822571364,121.25155010143303,121.25155010143303,-3.8448379769087873,-3.8448379769087873,-3.8448379769087873,-3.8448379769087873,-3.8448379769087873,-3.8448379769087873,0.0,0.0,0.0,117.40671212452423
