,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
60,2020-06-11,132.6588109531922,126.54560883975039,139.95461458903748,132.6588109531922,132.6588109531922,0.9388755572387792,0.9388755572387792,0.9388755572387792,0.9388755572387792,0.9388755572387792,0.9388755572387792,0.0,0.0,0.0,133.59768651043098
61,2020-06-12,133.1139522853229,126.51164171506936,139.50325913385547,133.1139522853229,133.1139522853229,0.03771284594297097,0.03771284594297097,0.03771284594297097,0.03771284594297097,0.03771284594297097,0.03771284594297097,0.0,0.0,0.0,133.15166513126587
62,2020-06-15,134.4793762817151,128.49846935345116,141.87863201067444,134.4793762817151,134.4793762817151,0.47373266773317557,0.47373266773317557,0.47373266773317557,0.47373266773317557,0.47373266773317557,0.47373266773317557,0.0,0.0,0.0,134.95310894944828
63,2020-06-16,134.9345176138458,128.82493866592685,142.79669409081893,134.9345176138458,134.9345176138458,0.7564967264619372,0.7564967264619372,0.7564967264619372,0.7564967264619372,0.7564967264619372,0.7564967264619372,0.0,0.0,0.0,135.69101434030773
64,2020-06-17,135.38965894597652,129.56778383742264,143.82368853898103,135.38965894597652,135.38965894597652,1.0584309140459285,1.0584309140459285,1.0584309140459285,1.0584309140459285,1.0584309140459285,1.0584309140459285,0.0,0.0,0.0,136.44808986002246
65,2020-06-18,135.84480027885533,130.2022434873078,143.56065208536094,135.84480027885533,135.84480027885533,0.9388755572389513,0.9388755572389513,0.9388755572389513,0.9388755572389513,0.9388755572389513,0.9388755572389513,0.0,0.0,0.0,136.7836758360943
66,2020-06-19,136.29994161173417,130.03326868426888,143.28757397151816,136.29994161173417,136.29994161173417,0.03771284594131391,0.03771284594131391,0.03771284594131391,0.03771284594131391,0.03771284594131391,0.03771284594131391,0.0,0.0,0.0,136.33765445767548
67,2020-06-22,137.6653656103706,131.24386158194707,144.94689672958273,137.6653656103706,137.6653656103706,0.47373266773396644,0.47373266773396644,0.47373266773396644,0.47373266773396644,0.47373266773396644,0.47373266773396644,0.0,0.0,0.0,138.13909827810457
68,2020-06-23,138.1205069432494,131.74204803223347,145.5227387654627,138.1205069432494,138.1205069432494,0.7564967264622623,0.7564967264622623,0.7564967264622623,0.7564967264622623,0.7564967264622623,0.7564967264622623,0.0,0.0,0.0,138.87700366971168
69,2020-06-24,138.57564827612822,132.95593183428434,146.10569750898978,138.57564827612822,138.57564827612822,1.0584309140466883,1.0584309140466883,1.0584309140466883,1.0584309140466883,1.0584309140466883,1.0584309140466883,0.0,0.0,0.0,139.6340791901749
70,2020-06-25,139.0307896090071,133.00799016024135,147.1901531277929,139.0307896090071,139.0307896090071,0.938875557239814,0.938875557239814,0.938875557239814,0.938875557239814,0.938875557239814,0.938875557239814,0.0,0.0,0.0,139.9696651662469
71,2020-06-26,139.48593094188587,132.48304999471833,146.6238108492968,139.48593094188587,139.48593094188587,0.037712845939656806,0.037712845939656806,0.037712845939656806,0.037712845939656806,0.037712845939656806,0.037712845939656806,0.0,0.0,0.0,139.52364378782553
72,2020-06-29,140.85135494052233,134.70787402776952,148.14290561792131,140.85135494052233,140.85135494052233,0.4737326677351498,0.4737326677351498,0.4737326677351498,0.4737326677351498,0.4737326677351498,0.4737326677351498,0.0,0.0,0.0,141.3250876082575
73,2020-06-30,141.3064962683677,134.94598995432537,149.60124419157736,141.3064962683677,141.3064962683677,0.7564967264620533,0.7564967264620533,0.7564967264620533,0.7564967264620533,0.7564967264620533,0.7564967264620533,0.0,0.0,0.0,142.06299299482976
74,2020-07-01,141.76163759621315,136.4082495125357,149.3209002052822,141.76163759621315,141.76163759621315,1.0584309140461052,1.0584309140461052,1.0584309140461052,1.0584309140461052,1.0584309140461052,1.0584309140461052,0.0,0.0,0.0,142.82006851025926
75,2020-07-02,142.21677892405856,136.80258403900868,149.70884774942706,142.21677892405856,142.21677892405856,0.9388755572399862,0.9388755572399862,0.9388755572399862,0.9388755572399862,0.9388755572399862,0.9388755572399862,0.0,0.0,0.0,143.15565448129854
76,2020-07-06,144.03734423544017,137.6647021002285,151.9345869218975,144.03734423544017,144.03734423544017,0.4737326677303081,0.4737326677303081,0.4737326677303081,0.4737326677303081,0.4737326677303081,0.4737326677303081,0.0,0.0,0.0,144.51107690317048
77,2020-07-07,144.4924855632856,138.6453045443469,152.0696768979164,144.4924855632856,144.4924855632856,0.7564967264621115,0.7564967264621115,0.7564967264621115,0.7564967264621115,0.7564967264621115,0.7564967264621115,0.0,0.0,0.0,145.24898228974772
